1,-1,1003,447,34,75,0.3233891
1,-1,1870,392,48,265,0.3663002
1,-1,691,460,45,140,0.36739454
1,-1,936,439,31,81,0.37991425
1,-1,1027,440,36,86,0.39198223
1,-1,1672,440,84,158,0.40190068
1,-1,921,446,56,141,0.43566218
1,-1,968,450,31,71,0.45701143
1,-1,660,457,62,184,0.4591659
1,-1,1063,467,65,119,0.46911696
1,-1,1828,408,89,244,0.47837362
1,-1,1256,445,40,96,0.6965305
1,-1,1462,431,128,324,0.8951256
1,-1,735,473,32,91,0.9231943
1,-1,570,443,127,262,0.98192936
1,-1,436,443,123,285,0.98214513
1,-1,1327,426,179,358,0.9937417
2,-1,786,463,23,46,0.3077394
2,-1,691,460,45,141,0.31772646
2,-1,1004,446,34,77,0.33719063
2,-1,1674,440,78,157,0.39626884
2,-1,936,439,31,82,0.40395772
2,-1,1871,392,47,266,0.40829012
2,-1,1063,466,65,121,0.41895685
2,-1,1026,437,36,90,0.42494142
2,-1,922,444,54,143,0.4400982
2,-1,660,460,63,180,0.45834747
2,-1,969,451,32,71,0.4628716
2,-1,1829,407,88,248,0.48321378
2,-1,1256,445,41,97,0.67949015
2,-1,735,473,33,93,0.9291587
2,-1,1465,431,131,330,0.9501438
2,-1,570,442,128,263,0.98152137
2,-1,435,442,125,283,0.98243386
2,-1,1333,423,173,365,0.9952725
3,-1,1004,447,33,77,0.3052428
3,-1,1064,464,63,122,0.31187165
3,-1,786,462,23,46,0.31402445
3,-1,1872,392,46,266,0.3935752
3,-1,1027,439,35,90,0.39753285
3,-1,1673,440,81,158,0.4016802
3,-1,1087,456,49,122,0.4063543
3,-1,936,440,31,80,0.40928313
3,-1,921,446,56,140,0.42935804
3,-1,970,452,32,71,0.45532313
3,-1,660,462,62,180,0.4777715
3,-1,1838,465,70,183,0.5078608
3,-1,1257,446,40,94,0.607434
3,-1,735,475,34,92,0.93199587
3,-1,1477,428,125,335,0.9438909
3,-1,570,443,126,263,0.9830617
3,-1,436,444,123,279,0.9848857
3,-1,1337,428,179,358,0.9861063
4,-1,786,462,23,45,0.30103433
4,-1,1670,419,125,210,0.30860126
4,-1,1062,465,65,121,0.33076692
4,-1,1004,445,34,79,0.35605076
4,-1,969,452,32,71,0.36529428
4,-1,1872,392,46,266,0.38627106
4,-1,1673,440,82,158,0.40257636
4,-1,1087,456,50,122,0.4133481
4,-1,1027,437,35,89,0.41714042
4,-1,935,440,32,80,0.4187337
4,-1,921,444,56,143,0.45496202
4,-1,1828,407,88,248,0.49854836
4,-1,659,462,62,179,0.52176034
4,-1,1257,446,40,94,0.59934956
4,-1,736,475,32,93,0.91463333
4,-1,1474,424,133,337,0.9565867
4,-1,569,444,125,263,0.98398113
4,-1,435,445,126,285,0.98700607
4,-1,1347,422,169,366,0.99256146
5,-1,969,452,31,70,0.3133032
5,-1,1004,447,34,76,0.34494954
5,-1,1671,417,123,211,0.3518769
5,-1,1027,438,35,88,0.35918847
5,-1,1087,456,50,123,0.36889282
5,-1,1673,440,82,158,0.36892238
5,-1,1873,391,45,268,0.37802157
5,-1,1062,466,65,121,0.38974935
5,-1,935,441,32,79,0.41969326
5,-1,921,445,56,141,0.4219092
5,-1,1837,466,71,181,0.48186076
5,-1,658,458,61,187,0.5103514
5,-1,1257,447,40,94,0.5926849
5,-1,736,475,33,92,0.9083759
5,-1,1490,428,139,340,0.95879245
5,-1,569,443,121,264,0.98294175
5,-1,436,447,126,282,0.9877641
5,-1,1354,418,166,373,0.9949199
6,-1,1003,446,34,78,0.32095394
6,-1,1671,418,124,209,0.3294507
6,-1,1027,439,35,89,0.3343387
6,-1,1872,392,46,265,0.3479547
6,-1,1063,465,64,122,0.3544385
6,-1,728,459,47,125,0.35788262
6,-1,1673,441,80,156,0.37805513
6,-1,935,441,33,78,0.40284404
6,-1,658,460,61,185,0.4221452
6,-1,1087,457,50,123,0.42915288
6,-1,921,443,57,144,0.43817905
6,-1,1837,466,72,181,0.47261938
6,-1,1258,446,39,96,0.62865394
6,-1,736,476,32,91,0.90902
6,-1,1500,430,122,339,0.9696858
6,-1,571,444,119,263,0.98556894
6,-1,437,450,126,280,0.99038845
6,-1,1365,418,158,369,0.99594134
7,-1,934,442,33,76,0.3355624
7,-1,1872,390,46,267,0.35380968
7,-1,920,447,60,140,0.38901645
7,-1,659,457,60,188,0.43072462
7,-1,1674,438,83,155,0.43441764
7,-1,1828,407,90,246,0.46388322
7,-1,1087,457,50,125,0.48177332
7,-1,1258,446,39,96,0.60421133
7,-1,736,478,32,90,0.89440864
7,-1,1506,432,113,339,0.96084845
7,-1,571,445,120,262,0.98769546
7,-1,435,452,129,278,0.9914597
